Name,Label,Domain,Range,URI,Count
abbreviation,abbreviation,owl:Thing,xsd:string,http://dbpedia.org/ontology/abbreviation,17180
abstract,has abstract,owl:Thing,rdf:langString,http://dbpedia.org/ontology/abstract,6080186
activeYearsEndDate,active years end date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsEndDate,9468
activeYearsEndYear,active years end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsEndYear,236344
activeYearsStartDate,active years start date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsStartDate,9946
activeYearsStartYear,active years start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsStartYear,370444
address,address,Place,rdf:langString,http://dbpedia.org/ontology/address,73073
affiliation,affiliation,owl:Thing,Organisation,http://dbpedia.org/ontology/affiliation,22084
ageRange,age range,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/ageRange,853
album,album,owl:Thing,Album,http://dbpedia.org/ontology/album,53629
alias,alias,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alias,56728
alongside,alongside,owl:Thing,Person,http://dbpedia.org/ontology/alongside,4465
alternativeName,alternative name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alternativeName,23180
anthem,anthem,owl:Thing,Work,http://dbpedia.org/ontology/anthem,823
appointer,appointer,owl:Thing,Person,http://dbpedia.org/ontology/appointer,9040
area,area,owl:Thing,Area,http://dbpedia.org/ontology/area,78328
areaCode,area code,Place,xsd:string,http://dbpedia.org/ontology/areaCode,136615
areaLand,area land,Place,Area,http://dbpedia.org/ontology/areaLand,54036
areaMetro,area metro,owl:Thing,Area,http://dbpedia.org/ontology/areaMetro,871
areaTotal,area total,Place,Area,http://dbpedia.org/ontology/areaTotal,183958
areaWater,area water,Place,Area,http://dbpedia.org/ontology/areaWater,48948
associate,associate,owl:Thing,Person,http://dbpedia.org/ontology/associate,251
associatedBand,associated band,owl:Thing,Band,http://dbpedia.org/ontology/associatedBand,44999
associatedMusicalArtist,associated musical artist,owl:Thing,MusicalArtist,http://dbpedia.org/ontology/associatedMusicalArtist,45007
atcCode,ATC code,owl:Thing,xsd:string,http://dbpedia.org/ontology/atcCode,148
authority,authority,owl:Thing,owl:Thing,http://dbpedia.org/ontology/authority,465
averageDepth,average depth,Place,Length,http://dbpedia.org/ontology/averageDepth,3252
averageSpeed,average speed,owl:Thing,Speed,http://dbpedia.org/ontology/averageSpeed,436
award,award,owl:Thing,Award,http://dbpedia.org/ontology/award,71454
background,background,owl:Thing,xsd:string,http://dbpedia.org/ontology/background,36256
battery,battery,owl:Thing,Battery,http://dbpedia.org/ontology/battery,240
