Name,Label,Domain,Range,URI,Count
abbreviation,abbreviation,owl:Thing,xsd:string,http://dbpedia.org/ontology/abbreviation,17180
abstract,has abstract,owl:Thing,rdf:langString,http://dbpedia.org/ontology/abstract,6080186
access,access,owl:Thing,xsd:string,http://dbpedia.org/ontology/access,0
accessDate,access date,owl:Thing,xsd:date,http://dbpedia.org/ontology/accessDate,0
activeYearsEndDate,active years end date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsEndDate,9468
activeYearsEndYear,active years end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsEndYear,236344
activeYearsStartDate,active years start date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsStartDate,9946
activeYearsStartYear,active years start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsStartYear,370444
address,address,Place,rdf:langString,http://dbpedia.org/ontology/address,73073
administrativeStatus,administrative status,owl:Thing,xsd:string,http://dbpedia.org/ontology/administrativeStatus,0
affiliation,affiliation,owl:Thing,Organisation,http://dbpedia.org/ontology/affiliation,22084
ageRange,age range,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/ageRange,853
agglomerationPopulationTotal,agglomeration population total,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/agglomerationPopulationTotal,0
aitaCode,aita code,owl:Thing,xsd:string,http://dbpedia.org/ontology/aitaCode,0
album,album,owl:Thing,Album,http://dbpedia.org/ontology/album,53629
alias,alias,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alias,56728
alongside,alongside,owl:Thing,Person,http://dbpedia.org/ontology/alongside,4465
alternativeName,alternative name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alternativeName,23180
altitude,altitude,Place,Altitude,http://dbpedia.org/ontology/altitude,0
animal,animal,owl:Thing,Animal,http://dbpedia.org/ontology/animal,0
annualTemperature,annual temperature,Place,Temperature,http://dbpedia.org/ontology/annualTemperature,0
anthem,anthem,owl:Thing,Work,http://dbpedia.org/ontology/anthem,823
apcPresident,apc president,owl:Thing,Person,http://dbpedia.org/ontology/apcPresident,0
appearance,appearance,owl:Thing,xsd:string,http://dbpedia.org/ontology/appearance,0
appointer,appointer,owl:Thing,Person,http://dbpedia.org/ontology/appointer,9040
area,area,owl:Thing,Area,http://dbpedia.org/ontology/area,78328
areaCode,area code,Place,xsd:string,http://dbpedia.org/ontology/areaCode,136615
areaDate,area date,Place,xsd:date,http://dbpedia.org/ontology/areaDate,0
areaLand,area land,Place,Area,http://dbpedia.org/ontology/areaLand,54036
areaMetro,area metro,owl:Thing,Area,http://dbpedia.org/ontology/areaMetro,871
