Name,Label,Domain,Range,URI,Count,MVE,OE
abbreviation,abbreviation,owl:Thing,xsd:string,http://dbpedia.org/ontology/abbreviation,17180,what is the abbreviation of <A>,what is the abbreviation of <A>
abstract,has abstract,owl:Thing,rdf:langString,http://dbpedia.org/ontology/abstract,6080186,what is the has abstract of <A>,what is the has abstract of <A>
activeYearsEndDate,active years end date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsEndDate,9468,when is the end of active years of <A>,when did <A> end being active
activeYearsEndYear,active years end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsEndYear,236344,what is the end year of active years of <A>,what year did <A> end being active
activeYearsStartDate,active years start date,owl:Thing,xsd:date,http://dbpedia.org/ontology/activeYearsStartDate,9946,when is the start of active years of <A>,when did <A> start being active
activeYearsStartYear,active years start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/activeYearsStartYear,370444,when is the start year of active years of <A>,what year did <A> start being active
address,address,Place,rdf:langString,http://dbpedia.org/ontology/address,73073,what is the address of <A>,what is the address of <A>
affiliation,affiliation,owl:Thing,Organisation,http://dbpedia.org/ontology/affiliation,22084,what is the affiliation of <A>,what is the affiliation of <A>
ageRange,age range,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/ageRange,853,what is the age range of <A>,what is the age range of <A>
album,album,owl:Thing,Album,http://dbpedia.org/ontology/album,53629,what is the album of <A>,what is the album of <A>
alias,alias,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alias,56728,what is the alias of <A>,what is the alias of <A>
alongside,alongside,owl:Thing,Person,http://dbpedia.org/ontology/alongside,4465,who is the alongside of <A>,who is the alongside of <A>
alternativeName,alternative name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/alternativeName,23180,what is the alternative name of <A>,what is the alternative name of <A>
anthem,anthem,owl:Thing,Work,http://dbpedia.org/ontology/anthem,823,what is the anthem of <A>,what is the anthem of <A>
appointer,appointer,owl:Thing,Person,http://dbpedia.org/ontology/appointer,9040,who is the appointer of <A>,who is the appointer of <A>
area,area,owl:Thing,Area,http://dbpedia.org/ontology/area,78328,what is the area of <A>,what is the area of <A>
areaCode,area code,Place,xsd:string,http://dbpedia.org/ontology/areaCode,136615,what is the area code of <A>,what is the area code of <A>
areaLand,area land,Place,Area,http://dbpedia.org/ontology/areaLand,54036,what is the area land of <A>,what is the area land of <A>
areaMetro,area metro,owl:Thing,Area,http://dbpedia.org/ontology/areaMetro,871,what is the area metro of <A>,what is the area metro of <A>
areaTotal,area total,Place,Area,http://dbpedia.org/ontology/areaTotal,183958,what is the area total of <A>,what is the area total of <A>
areaWater,area water,Place,Area,http://dbpedia.org/ontology/areaWater,48948,what is the area water of <A>,what is the area water of <A>
associate,associate,owl:Thing,Person,http://dbpedia.org/ontology/associate,251,who is the associate of <A>,who is the associate of <A>
associatedBand,associated band,owl:Thing,Band,http://dbpedia.org/ontology/associatedBand,44999,what is the associated band of <A>,what is the associated band of <A>
associatedMusicalArtist,associated musical artist,owl:Thing,MusicalArtist,http://dbpedia.org/ontology/associatedMusicalArtist,45007,what is the associated musical artist of <A>,what is the associated musical artist of <A>
atcCode,ATC code,owl:Thing,xsd:string,http://dbpedia.org/ontology/atcCode,148,what is the ATC code of <A>,what is the ATC code of <A>
authority,authority,owl:Thing,owl:Thing,http://dbpedia.org/ontology/authority,465,what is the authority of <A>,what is the authority of <A>
averageDepth,average depth,Place,Length,http://dbpedia.org/ontology/averageDepth,3252,what is the average depth of <A>,what is the average depth of <A>
averageSpeed,average speed,owl:Thing,Speed,http://dbpedia.org/ontology/averageSpeed,436,what is the average speed of <A>,what is the average speed of <A>
award,award,owl:Thing,Award,http://dbpedia.org/ontology/award,71454,what is the award of <A>,what is the award of <A>
background,background,owl:Thing,xsd:string,http://dbpedia.org/ontology/background,36256,what is the background of <A>,what is the background of <A>
battery,battery,owl:Thing,Battery,http://dbpedia.org/ontology/battery,240,what is the battery of <A>,what is the battery of <A>
battle,battle,owl:Thing,MilitaryConflict,http://dbpedia.org/ontology/battle,47133,what is the battle of <A>,what is the battle of <A>
bibsysId,BIBSYS Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/bibsysId,10,what is the BIBSYS Id of <A>,what is the BIBSYS Id of <A>
bnfId,BNF Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/bnfId,164,what is the BNF Id of <A>,what is the BNF Id of <A>
border,border,owl:Thing,Area,http://dbpedia.org/ontology/border,108,what is the border of <A>,what is the border of <A>
budget,budget,owl:Thing,Currency,http://dbpedia.org/ontology/budget,25802,what is the budget of <A>,what is the budget of <A>
builder,builder,owl:Thing,owl:Thing,http://dbpedia.org/ontology/builder,30769,what is the builder of <A>,what is the builder of <A>
buildingEndDate,building end date,owl:Thing,xsd:string,http://dbpedia.org/ontology/buildingEndDate,20812,what is the building end date of <A>,what is the building end date of <A>
buildingStartDate,building start date,owl:Thing,xsd:string,http://dbpedia.org/ontology/buildingStartDate,15701,what is the building start date of <A>,what is the building start date of <A>
callSign,call sign,owl:Thing,xsd:string,http://dbpedia.org/ontology/callSign,84,what is the call sign of <A>,what is the call sign of <A>
